Name,Gender,Age,Div,Ctry,Time
Cortez David R.,M,67,193,USA,335.37
Esterlis Boris,M,58,945,USA,327.83
Mcniven-Perry Juliette,F,39,1627,USA,246.37
Heavner Sue Ellen,F,49,67,USA,227.18
Simpson Jennifer M.,F,41,224,USA,233.33
Beaudry Charles,M,55,388,CAN,253.10
Patton Leslie A.,F,28,2856,USA,269.00
Soucinek Julie E,F,44,563,USA,252.33
Brogan Amy,F,40,1262,USA,298.83
Poon Jill S.,F,37,2445,USA,259.45
Patton Kristen,F,25,1334,USA,237.47
Hansen Svein,M,52,754,NOR,245.43
Maslechko William S.,M,51,893,CAN,252.25
Lavoie Cyr,M,61,113,CAN,252.62
Crouse-Rizoulis Cassy,F,30,1094,USA,232.67
Bowen Kara S.,F,25,1302,USA,236.23
Knudson Karin C.,F,24,587,USA,221.27
Crunican Ashleigh A.,F,33,717,USA,224.95
Yogan Lindsey E,F,24,2613,USA,262.83
Mulvey Lisa M,F,25,3452,USA,289.22
Connor Patrick J.,M,52,591,CAN,239.05
Elmer James M.,M,51,750,USA,246.75
Eisenhaure Diana E,F,36,395,USA,215.72
Jolly Stacey,F,32,2704,USA,264.60
Mahdi Haley M.,F,30,1784,USA,244.97
Mcfarland Charles M Jr.,M,52,1773,USA,355.67
Henneberger Mark,M,51,897,USA,252.40
Matos Cristina,F,48,37,DOM,220.97
Hart Charlie,M,55,351,USA,255.90
Martin Joe C. Jr.,M,50,1604,USA,308.90
Bartoli Phyllis R,F,50,95,USA,246.60
Cyr Kelly L.,F,28,1805,USA,246.48
Smith Brian S.,M,51,643,USA,239.73
Ellis Joan P.,F,63,17,USA,266.80
Grigsby Julia E,F,35,1456,USA,238.73
McGuire Christopher K.,M,53,964,USA,260.23
Sijon Kerrie F,F,50,714,USA,332.50
Morrison Kathryn L,F,42,419,USA,243.17
Harris Amanda,F,25,2355,USA,257.33
Seed Maggie J.,F,27,1157,USA,239.62
Benoit Elizabeth H,F,33,3794,USA,310.85
Bailey Erin,F,28,679,USA,229.05
Lerario Amira J,F,45,319,USA,250.03
Hidle Unn,F,46,463,USA,256.18
Corcoran Heather L,F,42,181,USA,231.85
Wilford Jennifer A.,F,42,365,USA,241.28
Chase Hazel,F,38,3552,USA,295.00
Nishikawa Toby,F,39,2942,USA,280.48
Ten Cheng,F,40,179,USA,229.48
Esposito Francis H.,M,58,737,USA,286.00
Knight Kevin E,M,58,529,CAN,266.63
Radkiewicz Sara,F,38,1551,USA,241.30
Duerr Susanna E.,F,26,2022,CAN,249.38
Bulger Paul R,M,50,1564,USA,299.77
Williams Sarah E.,F,38,4092,USA,333.58
Doctor Danielle R.,F,33,740,USA,224.30
Henderson Keelyn,F,24,2596,USA,262.08
Adam Margaret E,F,46,232,CAN,243.23
Lindsay Debbie,F,45,1227,USA,313.83
Brown Jeffrey T.,M,56,178,CAN,234.08
Rodriguez Natalie D.,F,36,2101,USA,254.18
Wood Salina A.,F,33,1602,USA,241.63
Kocon Lori B,F,32,2660,USA,263.40
Motyka Kristi,F,25,2322,USA,261.50
Kelada Julie W.,F,44,213,USA,232.08
OReillyKathryn,F,41,1096,USA,280.10
Anderson Jocelyn M.,F,32,3008,USA,272.17
Dwyer Kellie A,F,23,774,USA,226.60
Rossi Allison L,F,30,1986,USA,249.25
Otter Johan,M,50,631,USA,240.12
Caruso Thomas J.,M,51,1344,USA,277.55
Watts Sylvie,F,48,217,CAN,242.05
McKeel James A.,M,55,696,USA,281.90
Latouche Leonardo,M,56,619,USA,275.92
Coreth Ariel G.,F,20,263,USA,213.00
McManus Greg K.,M,50,1014,CAN,258.75
Staats Jen B,F,34,1482,USA,240.02
Davin Daniel J,M,52,1020,USA,258.37
Larson David D,M,56,378,USA,252.98
Archibald Thomas,M,57,163,USA,232.67
Flaherty Jennifer A.,F,39,994,USA,230.95
Boud Richard R.,M,55,226,USA,239.03
Kersch Cymon N.,F,25,2089,USA,254.78
Chung Moon Su,M,53,1635,KOR,309.78
Eitrheim David C,M,54,1309,USA,274.98
Edmunson Elizabeth D,F,53,162,CAN,256.97
Brown Colleen A.,F,46,353,USA,251.77
Craig Jack,M,60,94,CAN,245.47
Bailey Polly,F,41,1272,USA,303.70
Kucey Bruce,M,55,683,CAN,290.98
Prince Akiko F.,F,35,1889,USA,246.97
Smith Jennifer S,F,39,1208,USA,237.40
Thomas Todd,M,50,1405,USA,282.78
Swinehart Suzi,F,39,882,USA,228.13
Reames Nicole E.,F,25,711,USA,223.73
Sanders Amy,F,25,1175,USA,234.43
Klobusnik Jozef,M,53,1301,USA,274.57
Masley John J,M,53,1318,USA,275.68
Bissing Mark S,M,50,440,USA,231.50
Lifonti Eugene,M,51,1480,USA,290.23
Fagan Barbra A.,F,51,259,USA,267.22
Lisicky Nicole,F,42,87,USA,221.28
Lau Clifford K,M,57,296,USA,245.65
Thomas Tiffani A.,F,38,2059,USA,256.42
Betts Brooklyn,F,29,3242,USA,282.08
Gross Michelle L.,F,30,1821,USA,245.50
Corcoran Monica,F,34,1539,USA,241.60
Hennes Gregory,M,52,1074,USA,262.28
Barron Jorge,M,50,408,USA,229.38
Tagg Heather S.,F,45,981,USA,286.22
Fogel Lori,F,44,617,USA,254.83
Atwater Jud,M,51,944,USA,254.82
Clavier Genevieve,F,48,88,USA,231.13
Lakin Jessica,F,42,804,USA,261.82
Aycock Amanda,F,27,3615,USA,298.17
Sutkowy Sweeny Beth M.,F,28,1387,USA,238.07
Delfidio Susan,F,34,1505,USA,240.42
Graham Curry,M,51,560,USA,236.32
Warkentin Brian,M,51,1363,CAN,279.40
Braue Keith C,M,52,987,USA,262.72
Nusblat Michael,M,59,211,USA,237.68
Brulo Albert T.,M,54,1165,USA,266.18
Rooney Daniel J.,M,39,2537,USA,236.03
Parra Phillip I.,M,45,1052,USA,240.67
Aguirre Cobo Gerardo,M,48,1080,MEX,242.43
Baxter Robert,M,52,590,CAN,238.37
Bilenberg Ghita,F,40,214,DEN,231.28
Kamber Martin,M,48,551,DEN,224.08
Dower Alicia,F,37,2545,USA,261.72
Vasconcelos Lynn E,F,37,4197,USA,344.77
Waters Katie,F,30,2140,USA,257.58
Bode Krystal,F,21,2569,USA,262.15
Han Sang Hyun,M,54,1697,KOR,324.27
Boustead Glenn,M,51,917,CAN,254.70
Mcfall Cheri,F,37,2019,USA,250.90
Crosset John,M,56,299,USA,251.07
Penwright-Holmes Jade,F,35,1657,CAN,249.15
Gray-Wilkerson Marcia J,F,38,2694,USA,265.12
Boelman Duane A,M,55,468,USA,265.18
Curry Tracie,F,26,1457,USA,240.08
Crone Rachel M.,F,22,2805,USA,268.25
Exell Ronald C.,M,54,724,CAN,244.95
Eldridge Kim D.,F,41,34,USA,211.92
Ballinger Richard H. III,M,58,107,USA,226.78
Kazmaier Emily M.,F,35,2530,USA,266.42
Busa Ashley,F,27,3982,USA,326.17
Kelley Elizabeth H,F,26,508,USA,231.23
Quevedo Del,M,51,876,USA,256.40
Lamantia Tammy,F,40,85,USA,222.32
Evers Nikki,F,40,644,USA,255.78
White Theresa,F,42,388,USA,243.37
James Erin,F,28,3116,USA,276.78
Burnside Richard L,M,54,1380,USA,281.60
Jefferson Tracy,F,40,167,USA,230.20
Selby May E.,F,40,447,USA,245.80
Mortenson Breah C.,F,25,754,USA,230.72
McLachlan Kailey,F,31,1585,CAN,243.47
Johnson Michelle D.,F,53,62,USA,242.03
Duncan Amanda L.,F,38,3367,USA,287.80
Geiselmayr Antonia,F,29,1160,USA,237.83
Morey Jessica,F,31,1825,USA,247.30
Garcia Tames Alonso,M,53,1105,MEX,263.90
Jang Keun Man,M,54,1262,KOR,268.77
Pace Becca,F,37,3003,USA,275.88
Gray Kim,F,37,764,USA,227.12
Jones Joanna G.,F,31,1032,USA,232.87
Vaughan Doug,M,53,1649,USA,312.95
Loudin Amanda,F,46,561,USA,263.07
Ladcani Michelle L,F,44,1057,USA,280.52
Arlt Paul E.,M,55,427,USA,258.42
Ostergaard Lisa C.,F,37,3883,USA,323.35
Weissman Michelle,F,28,101,USA,206.88
Henneberger James W.,M,62,221,USA,266.62
Mason Rashelle R.,F,40,667,USA,256.32
Meineke Hannah,F,24,2846,USA,269.13
Peyachew Deanna,F,34,472,CAN,219.25
Sumner Greg,M,60,573,USA,333.82
Campbell Tracy A.,F,36,500,USA,220.60
Cornelius John J,M,56,863,USA,306.02
Phillips Anna E.,F,27,2363,USA,258.30
Magloire Zita,F,27,3817,USA,314.32
Yagoda Benjamin M.,M,50,1044,USA,260.95
Lord Brooke,F,50,145,USA,254.78
Nicoulin Colleen E.,F,37,590,USA,222.25
Villemaire Mario,M,55,542,CAN,269.48
Shore Alexis,F,27,621,USA,223.12
Robinson Dana C.,F,36,2922,USA,275.63
Deutsch Christine M,F,37,2213,USA,254.92
Lang Amy,F,27,530,USA,216.55
Penner Joyce,F,31,1173,CAN,236.48
Rueda Mary,F,42,314,USA,244.48
Oberg Craig J,M,56,488,USA,264.30
Tenenbaum Noel,M,51,827,USA,249.20
Yager Julia K,F,43,163,USA,231.85
Haskell Michele,F,41,389,USA,243.93
Laird Casie M,F,31,3176,USA,283.60
Boccard Lauren,F,28,847,USA,229.02
Tirona Patricia L.,F,38,2700,USA,264.82
Tomlan Kristina,F,26,2579,USA,262.57
Murray Kyle,F,25,2592,USA,264.98
Fitch Terri,F,32,4003,USA,327.42
Vilord Julianne,F,24,2137,USA,253.02
Puerto Denia D.,F,47,260,USA,246.77
Williams Karen L.,F,46,807,USA,276.07
Jones Melody,F,28,473,USA,219.33
Dugan Emily S.,F,33,1628,USA,242.80
Roth Lauren,F,29,1223,USA,238.78
Authement Kim,F,29,2722,USA,266.25
Kolbaba Joseph W.,M,51,1218,USA,270.40
Nicholson Steve,M,54,1817,USA,367.85
Johnson Tyronna,F,43,234,USA,234.92
Kirkland Wendi,F,29,2723,USA,266.25
Blair Rachael L.,F,34,630,USA,222.93
Peterson Jocelyn,F,34,771,CAN,226.63
Cashin Alexis,F,25,2778,USA,266.62
Fox Vincent P,M,53,1090,USA,263.60
Chamiga Slawomira,F,53,720,USA,336.80
Van Der Pad-Blanker Ivonne,F,47,573,NED,263.85
Schwartzenburg Carrie S,F,41,368,USA,244.28
Novie Alan,M,57,801,USA,295.72
Scettro Giuliano,M,53,1753,ITA,343.53
Babrowicz Marguerite,F,48,41,USA,226.12
De Stefano Aldo,M,60,74,ITA,243.72
Huckins Elizabeth,F,29,1495,USA,240.52
Teixeira Ben,M,50,1639,USA,312.35
Smith Alan,M,51,1796,USA,361.17
Cordes Steve J.,M,50,1387,CAN,286.77
Gillard Jim,M,54,734,USA,246.12
Palmer Karen,F,47,309,USA,250.07
Connolly Steven,M,56,101,USA,227.53
Briles Richard,M,57,212,USA,239.12
Wodrich Jim V.,M,51,1069,USA,261.47
Nixon Sarah,F,47,43,USA,222.35
Cunningham Barclay,F,40,713,USA,259.55
Beaudet Audrey,F,36,3170,CAN,282.50
Goldfarb Paul,M,53,1083,CAN,263.13
Giampietro Carol,F,53,59,USA,241.57
Sieglaff Tory S,F,41,392,USA,248.20
Galligan Julia D.,F,28,1855,USA,246.50
Warner Rachel M,F,34,1035,USA,233.08
Romero Ricardo,M,51,1537,USA,297.40
Talley Gary D,M,52,1207,USA,271.75
Johnson Steven C,M,55,719,USA,283.95
Stultz Amanda,F,31,2550,USA,262.22
King Megan,F,34,4186,USA,343.17
Udell Brittney,F,22,2351,USA,257.98
Demerie Desarae A.,F,33,1791,USA,252.87
Weicholdt Eric,M,50,352,GER,227.70
Hunt Cassina A,F,50,512,USA,293.98
Smith Janine M.,F,46,840,USA,277.80
Bereschak Monica T,F,37,2880,USA,270.13
Wollenberg Gena S,F,27,1937,USA,250.60
Siwik Amy,F,25,2760,USA,266.43
Marieni Christine E.,F,27,2479,USA,260.85
Wigton Rachel A.,F,24,203,USA,208.68
Picard Normand,M,51,1280,CAN,277.48
Scurti Kim,F,44,178,USA,230.07
Cucinotta Robin,F,40,881,USA,271.65
Thomas Carissa M,F,29,2063,USA,252.47
Tomko Jaime,F,22,1649,USA,243.45
Wirtz Dennis C.,M,54,1489,USA,292.90
Rossi Tony,M,52,495,CAN,241.27
Sidders Roy G.,M,51,1440,CAN,287.43
Bond Barbara I.,F,54,47,SUI,238.95
Hixon Tracy T.,F,48,122,USA,243.17
Spencely Karen,F,35,1675,CAN,244.67
Sweet Katherine R.,F,29,1421,USA,239.83
Adams Tamara,F,33,1875,USA,248.00
Ahmad Sabrina F,F,31,2315,USA,256.97
Kelly Ronald,M,52,1394,CAN,288.43
Kadish Rebecca E,F,55,43,USA,256.80
Hafner Janell A,F,55,63,USA,263.65
Spencer David,M,58,276,USA,246.08
Kempen Krystle N.,F,27,333,USA,214.83
Egbert Michelle,F,33,3207,USA,280.68
Sauret Joe,M,53,696,CAN,244.28
Kim Mikyung,F,45,458,CAN,257.93
Verderame Jyoti,F,44,329,USA,240.43
Cheung Ling,F,35,2228,USA,259.85
Forbes-Lorman Robin,F,28,614,USA,223.53
Nichols Robin,F,32,3001,USA,273.82
Walker Drew,M,52,952,USA,255.97
West Steve,M,54,469,USA,234.05
Rodgers James,M,57,289,USA,250.63
Gilmour Laura,F,30,2307,USA,260.80
Shaw Emma,F,21,319,USA,214.00
Perez Michele,F,27,1048,USA,232.85
Curran Linda,F,43,186,USA,231.32
Gilman Boyd,M,55,626,USA,274.60
Kahn Lindsay,F,31,3390,USA,289.80
Garcia Diane,F,32,2750,USA,266.35
Dos Santos Filho Paulo Tavares,M,51,1360,BRA,280.50
Desautels Carole,F,51,138,CAN,261.85
Larson Daniel C.,M,60,37,USA,231.48
Tkaczyk Amie,F,28,3088,USA,276.93
Resendiz Shaaron,F,30,819,USA,228.12
Duncan Ashley K.,F,25,1420,USA,240.87
Flint Richard L,M,51,294,USA,224.32
Henriksen Beth A,F,56,17,USA,239.72
Leer Elizabeth A.,F,43,1128,USA,283.83
Cucinotta Ardria,F,36,3645,USA,300.47
Slisz Joanna K,F,37,1328,USA,238.18
Wojtkiewicz Paul J,M,50,1010,USA,258.95
Forbes James,M,58,599,USA,273.10
McCallon Emily M.,F,37,2154,USA,253.25
Darcy Vin,M,53,878,USA,253.10
Pernicano Ted,M,53,1151,USA,265.98
Szydlowski Craig,M,52,1788,USA,361.05
Pool Randy,M,51,834,USA,249.28
Frye Elizabeth M,F,43,283,USA,237.78
Brown Sarah L.,F,27,2796,USA,268.83
Bradley Alison,F,25,1960,USA,249.68
Toy Eugene C,M,51,1157,USA,266.15
Johnston Todd,M,51,712,USA,244.90
Donaldson James W,M,53,1144,USA,265.98
Hannon Mike D.,M,52,1155,CAN,268.08
Amero Brian,M,55,695,USA,282.80
Bauer Lana J.,F,24,887,USA,230.12
Beatty Susan E.,F,25,2814,USA,268.48
Justice Leah E,F,34,2857,USA,271.20
Ham Susan,F,26,3741,USA,310.13
Lima Adriana Vieira,F,30,661,BRA,223.70
Gardner Andrea L.,F,28,2902,USA,271.17
Nonnon Jean Bernard,M,50,1545,FRA,297.65
Beasley Kenneth E.,M,52,797,USA,252.67
Fernekes David W,M,54,675,USA,243.18
Jeffrey Michelle M.,F,42,323,USA,240.45
Mason Dana,F,43,71,CAN,219.70
Banducci Michael A.,M,55,573,USA,271.77
Gehenio James J.,M,51,1153,USA,266.60
Demarco David J.,M,52,1672,USA,324.32
Baguley Katie,F,47,280,USA,248.45
Snow Jennifer L.,F,40,155,USA,228.22
Blom Stephanie L.,F,35,2632,USA,263.73
Taurassi Cheryl,F,38,1057,USA,233.28
Stapf Heather J.,F,31,2244,USA,256.30
ODaySteve,M,51,1602,USA,304.28
Chua Schulte Cathleen,F,45,355,USA,252.32
Arnold Almira B,F,40,437,USA,245.20
Duffy Patty,F,43,193,USA,231.47
Gvodas Emily G.,F,28,2215,USA,255.53
Kelly John L,M,50,818,USA,254.68
Pierpont Beth T,F,47,1186,USA,307.18
Leaf Mary E.,F,44,750,USA,261.15
Finelli Lauren N.,F,35,1141,USA,234.38
Lebailly Viraj M.,F,34,2668,USA,264.97
Carne Kristen E.,F,34,2616,CAN,267.85
Kirby Tobias M,M,52,1694,USA,328.65
Hewett Ben,M,53,1328,USA,277.28
Sin Dong Hun,M,53,1652,KOR,312.82
Grinspoon Steven K,M,50,532,USA,236.60
Silk Jennie V.,F,35,2000,USA,254.57
Lang Cary M.,M,51,1264,USA,274.25
Bjelk Leslie A,F,50,57,USA,241.60
Rowland Dean,M,61,201,USA,264.45
Kenney Kelly,F,35,3636,USA,299.90
Devries Lori A,F,39,3200,USA,280.47
Jacques Lisa D.,F,37,3347,USA,286.50
Johnson April,F,31,1252,USA,236.88
Somerville Anne C.,F,28,734,USA,225.75
Davis Russell G.,M,50,1248,USA,271.90
Chong Yong H.,M,53,1339,USA,277.65
Bowe Kristin,F,40,1036,USA,276.62
Rattee Helen M.,F,37,2482,CAN,260.68
Hadzima Steve,M,52,1399,USA,282.57
Barbarita Colleen M.,F,51,427,USA,284.80
OConnorLarryW,M,56,307,USA,253.07
Montgomery Whitney,F,24,1493,USA,241.10
Holm Emma,F,30,1351,USA,245.47
Hawley Kevin,M,53,661,USA,246.08
McConnell Whitni J.,F,27,1036,USA,232.48
Sayde Janel,F,29,1276,CAN,236.62
Hatch Angie B.,F,30,1779,USA,245.88
Abrahamsen Rita,F,45,642,CAN,269.83
Bradley Denise,F,37,2014,USA,250.72
Evans Launi,F,39,1526,USA,244.70
Gorlewski Peter J.,M,57,477,USA,263.43
Fritsch Sara K.,F,35,1102,USA,238.63
Demello Jessica,F,27,236,USA,209.75
Schmitz Kristin A,F,31,1069,USA,233.18
Macoy Adrienne,F,42,490,USA,248.05
Ferris Heather,F,43,479,USA,248.08
Hilbrich Greg,M,56,635,USA,276.25
Moreira Sandra P.,F,39,1451,USA,240.23
Lee Young Gwan,M,58,998,KOR,346.98
Huss Sheila M.,F,36,955,USA,231.38
Thompson Douglas,M,53,1413,USA,280.17
Granzotto Serena I.,F,37,2933,CAN,272.03
Chevalier Maria A.,F,37,2126,USA,253.10
Bradshaw Lizzie,F,29,1872,GBR,247.40
McCoy Dana C.,F,27,2598,USA,263.32
Anderson Rebecca,F,33,839,USA,229.65
Proctor Kelli M.,F,34,2362,USA,262.83
Ebina Hiroshi,M,52,1866,JPN,404.32
Ross Missy,F,44,549,USA,251.22
Fowler David,M,58,255,USA,243.92
Pritchard Sarah R.,F,22,2078,USA,253.43
Solomon Nadalie R.,F,31,2546,USA,261.33
Andrews Greg,M,52,773,CAN,246.50
Erickson Bernon R. Jr.,M,51,1565,USA,305.12
Rancourt Benoit,M,61,146,CAN,256.33
Lee Karen L,F,40,312,USA,239.18
Westover Debbie,F,40,773,USA,262.38
Dowling Kathleen M.,F,33,2534,USA,261.35
Deschenes-Desmond Caitlin,F,29,2113,USA,253.07
OGradyKathrynJ,F,54,86,CAN,251.32
Bhardwaj Sheila S.,F,23,2442,USA,261.58
Malone Kate C,F,26,2768,USA,267.52
Heath Jeffery L,M,50,1536,USA,303.47
Vink Esther,F,47,373,NED,254.02
Powell Kristin S,F,41,263,USA,236.33
Dimasi Cara M.,F,32,2250,USA,256.35
Pohlen Michelle L.,F,31,3211,USA,280.42
Lyions Erin,F,40,305,USA,241.57
Hernandez Chelsea M.,F,29,3061,USA,275.62
Christensen Melissa K.,F,34,1972,USA,245.80
Sweet Shane V.,F,34,3746,USA,309.07
Schmidt Anna K.,F,34,3030,USA,274.50
Spiegel Lee,M,54,586,USA,243.18
Schengber David,M,51,1481,USA,291.93
Rall Tammy J,F,49,378,USA,253.13
Wilkey Sonja A.,F,41,483,USA,250.35
Murphy Cindy,F,41,207,USA,237.50
Kennedy Kevin J.,M,55,577,USA,271.50
Giese Sheri L.,F,39,2468,USA,260.15
Leblanc Marie-France,F,36,1383,CAN,238.68
Jacques Richard G.,M,58,875,USA,303.08
Snyder Ashleigh,F,36,2552,USA,267.15
Reilly Rebecca R,F,33,1698,USA,244.45
Lindstrom Christine,F,34,642,SWE,224.82
Laflamme Christina M,F,37,2804,CAN,267.02
Howe Karen,F,35,1693,USA,244.47
Fleming Margot,F,26,3828,USA,315.13
Garza Gabriela,F,34,2232,USA,260.32
Stanbrough Darryl R,M,60,143,USA,256.93
Babcock Rebecca S,F,40,572,USA,251.88
Kim Daniel K.,M,58,507,USA,266.08
Fay Jim A.,M,56,830,USA,299.48
Dempsey Jim P.,M,59,802,USA,295.38
Kennedy Sharon,F,38,2864,USA,269.53
Tisdale Rebecca L.,F,25,415,USA,217.60
Donnelly Chuck,M,50,1401,USA,285.93
Nowlis Tim,M,54,467,USA,234.50
Weakley David R,M,53,279,USA,224.18
Lennox Scott,M,65,53,USA,273.58
Cormier Cynthia,F,29,3496,CAN,293.28
Folco Mariana,F,25,1221,USA,236.20
Kennedy Jessica,F,27,1522,CAN,241.62
Christianson Karl,M,50,1008,USA,258.40
Reed David,M,52,1231,USA,270.65
Davidow Hal S.,M,60,136,USA,254.62
Ryan Joe,M,62,249,CAN,274.95
Colvin Sandy S,F,43,384,USA,243.47
Klostreich Joan C.,F,39,370,USA,215.60
Murase Ayano,F,35,379,USA,215.63
Sullivan Erin,F,34,2879,CAN,274.95
Davison Bruce E.,M,63,175,USA,260.95
Nobert Natalie,F,49,446,CAN,257.32
Gibeault Mark,M,59,337,USA,250.15
Bibza Elizabeth R.,F,32,1077,USA,234.08
Buzuvis Kristy P.,F,32,3060,USA,274.67
MacGregor Rexford A.,M,53,1149,USA,266.70
Body Wendy G.,F,48,715,USA,273.93
Wagner Wendy J,F,38,4175,CAN,346.52
Shum Becky,F,39,805,USA,227.80
Hong Ronald,M,55,341,CAN,249.95
Franklin Mathilde,F,21,2058,USA,251.37
Santamaria Kelley A.,F,44,604,USA,254.38
Williams Helen B,F,36,1537,USA,245.40
Blaszko Lisa,F,32,526,USA,220.57
Bischoff Carol,F,48,363,USA,253.45
Calderone Gina M.,F,48,170,USA,240.78
Steinhauser Paula,F,28,2440,USA,260.67
Halsall Kayla,F,27,3724,USA,306.33
Gannon Meg,F,33,1738,USA,245.45
Roor Melissa J.,F,30,2970,USA,273.17
Hatcher Philip,M,51,1093,USA,263.05
Shafer Jennifer A,F,38,2183,USA,254.45
Kavigian Amanda,F,30,1436,USA,240.35
Kjemperud Terry A,M,53,1015,USA,259.00
Lee Heung Koo,M,53,885,USA,258.98
Kang Susan,F,56,208,USA,295.32
Ellison David,M,64,329,CAN,281.55
Trapnell Sheri,F,40,570,USA,251.88
Yi Ung W.,M,55,601,USA,273.13
Geraghty Faith R.,F,32,1150,AUS,235.17
Bess Jennifer R,F,30,2837,USA,268.63
Kennedy Gordon,M,52,1641,USA,311.48
Oscar De Fragoso Rodrigues Hernani,M,61,196,BRA,263.65
Langhorst Stephen D.,M,55,915,USA,317.30
Davidson Adrienne S.,F,35,3087,USA,280.58
McCasey Nicole E.,F,28,1891,CAN,248.08
Jaffa Margaux L.,F,32,747,USA,226.00
Coye Lynda,F,46,263,USA,246.92
Campbell Colleen L.,F,41,231,USA,233.82
Innes Holley,F,38,2404,USA,261.67
Raver-Shapira Nina,F,35,1022,ISR,233.75
Herman Rachel,F,39,2655,USA,266.03
Remick Stephanie,F,26,964,USA,230.68
Kenoyer Kate H.,F,33,455,USA,220.40
Kamaji Jenny,F,32,598,MEX,228.00
Lin Ashley,F,23,852,USA,229.58
Schafer Bernard J,M,53,1444,USA,287.23
Saxton Gary,M,52,1348,USA,278.82
Santana Juan,M,52,1706,USA,326.83
Prouty Terry M,F,45,362,USA,252.15
Theoharides David N,M,58,311,USA,252.38
Graham Catherine,F,27,757,USA,227.17
Shokey Jaclyn,F,34,1184,USA,235.72
Major Angie,F,50,69,USA,243.28
Shin Dong Chan,M,64,463,KOR,306.85
Markunas Bill,M,51,1650,USA,312.60
Meloy John B.,M,53,815,USA,249.57
Retchless Loan T.,F,41,888,USA,269.08
Schutz Melissa,F,35,1607,USA,242.50
Woods Terry,M,55,528,CAN,268.28
Maciariello Jim,M,58,769,USA,292.57
Chaffin Michelle L,F,34,1650,USA,244.43
Farnsworth Dan,M,53,1226,USA,270.80
MacDonald Jill M.,F,45,931,CAN,280.00
Rochester Julia L.,F,42,730,USA,260.22
Fuss Angela D.,F,33,3539,USA,295.52
Ferrie Chelsea,F,28,577,USA,225.33
Varnum Michael,M,51,1036,USA,260.40
Grant Wanda C,F,54,23,USA,231.78
Fair Joelle S.,F,43,205,USA,236.00
Olson Thomas,M,55,563,USA,270.55
Larason Amber,F,31,1677,USA,244.18
Knight Matt,M,51,1127,USA,265.78
Farren Steve L,M,51,771,USA,248.03
Phelps Colleen H,F,44,458,USA,248.78
Tice Greg,M,55,757,USA,290.65
Simington Jane,F,25,1500,CAN,241.28
McGee Philip M.,M,50,1448,USA,287.82
Barton Crystal,F,36,4060,USA,331.80
Campbell Patrick,M,56,416,USA,256.53
Dabe Alicia,F,29,3656,USA,301.62
Weaver Joe,M,54,741,USA,246.68
Kim Hyeong Geol,M,52,1586,KOR,303.02
Edwards Stacy,F,27,2910,USA,275.05
Anderson Amy Y.,F,26,3834,USA,315.92
Espo Timo,M,51,770,FIN,246.73
Carpenter Robin D.,M,54,602,USA,240.15
Goeglein Marie A.,F,33,2529,USA,266.42
Magargee Erin,F,26,1155,USA,239.62
Howell Ginger B.,F,26,934,USA,230.00
Michelsen Jon E,M,53,1459,USA,292.82
Glasgow Keith A,M,60,271,USA,268.87
Gibson Tracey A.,F,48,431,GBR,260.30
Johnson Sarah Kelli,F,36,2270,USA,252.02
Feigenbaum Larry,M,64,93,USA,246.30
Engen Michelle,F,41,1044,USA,277.38
Radecki Annie F.,F,31,1281,USA,237.92
Bergstrom Amanda,F,36,673,USA,224.07
Abbott Jamie R.,F,38,2527,USA,261.67
Whetstine Sarah K.,F,30,3317,USA,285.67
Hamilton Sarah L.,F,26,2302,CAN,258.20
Ottaviano Gerard J.,M,54,744,USA,245.52
Jarrell Krista,F,47,176,USA,239.92
Frazer Kelly M.,F,36,1177,USA,236.55
Jewell Tracie,F,36,2097,USA,257.28
Gemmer Cary,F,26,971,USA,231.00
Loose Emily A,F,31,1075,USA,233.83
DuCharme Mark R.,M,50,1504,CAN,298.18
Tinsley David M.,M,54,1035,CAN,266.28
Laneau Leann C.,F,34,1161,USA,235.78
Knight Chelsea E.,F,29,1683,USA,244.07
Guzowski Gina,F,27,2181,USA,254.45
Kim Wi Dong,M,51,1568,KOR,300.20
Boyce Gary,M,52,702,CAN,244.88
Berger Jeffrey B,M,50,1297,USA,277.67
Mcculloch Ashley S,F,44,431,USA,245.18
Duty Traci D,F,32,382,USA,216.13
Suckow Kristyn M,F,28,439,USA,217.37
Holden Kathleen,F,27,1311,USA,238.43
ODellMike,M,53,1152,CAN,265.97
Goodwin David A,M,51,528,USA,236.48
Pinkard Sophie,F,30,1067,USA,235.82
Norman Michele,F,44,735,USA,263.32
Strachota Kathleen,F,25,1514,USA,241.45
Koors Nicole,F,26,2346,USA,257.83
Kirk Corinne A.,F,45,653,USA,272.72
Weber Debra,F,31,4498,USA,393.78
Corre Nicole E.,F,30,2719,USA,265.92
Ross Ashley,F,28,1363,USA,238.53
Parsons Sueh-Han,F,31,1977,USA,250.35
Beiers John,M,52,1508,USA,293.65
Chen Greta,F,40,611,USA,258.48
Levy Liane C.,F,42,1224,USA,296.28
Johnson Susan G.,F,38,947,USA,235.80
Hugo Courtney M.,F,26,2271,USA,256.05
Heidecker Erin E.,F,24,1621,USA,242.88
Hassett Lyndsy B,F,31,1610,USA,247.17
McGeough Sarah,F,39,1902,USA,248.05
Marrs Abigail,F,24,446,USA,218.10
Wasko Drew,M,59,550,USA,269.82
Hamilton Tasha J.,F,26,3547,USA,300.53
Dokken Heather,F,32,1686,USA,244.15
